platform,text,link_count,emoji_count,hashtag_count,follower_ratio,duplicate_score,forward_count,urgent_words,rating,account_age_days,label
Instagram,Amazing photography,1,5,6,2.56,0,19,1,0,1786,0
SMS,"Win ₹50,000 now click here",3,0,8,0,0,46,8,0,0,1
Email,Your account suspended click link,3,0,1,0,0,46,10,0,0,1
WhatsApp,Forward this message and win prize,1,5,6,0,0,69,7,0,0,1
Email,Meeting scheduled tomorrow,2,1,7,0,0,11,0,0,0,0
WhatsApp,Family meeting at 6 PM,1,4,10,0,0,29,4,0,0,0
WhatsApp,Forward this message and win prize,3,5,7,0,0,46,7,0,0,1
WhatsApp,Forward this message and win prize,4,5,1,0,0,32,7,0,0,1
Instagram,Amazing photography,0,7,11,4.5,0,48,4,0,1362,0
Instagram,Free followers now,3,6,20,4.16,0,44,0,0,499,1
Email,Your account suspended click link,4,2,1,0,0,13,8,0,0,1
YouTube,Very informative tutorial,1,5,4,0,0,25,4,0,1211,0
Instagram,Amazing photography,0,5,13,3.32,0,8,4,0,1696,0
Website Review,Best product ever highly recommended,1,4,2,0,0.35,20,1,1,1913,0
Email,Your account suspended click link,2,2,2,0,0,34,7,0,0,1
Email,Meeting scheduled tomorrow,2,5,2,0,0,4,0,0,0,0
Email,Your account suspended click link,5,5,8,0,0,7,7,0,0,1
WhatsApp,Family meeting at 6 PM,0,5,5,0,0,16,2,0,0,0
Email,Your account suspended click link,5,2,4,0,0,14,9,0,0,1
YouTube,Earn money fast click here,3,5,0,0,0,41,0,0,1848,1
SMS,"Win ₹50,000 now click here",0,4,8,0,0,34,3,0,0,1
WhatsApp,Forward this message and win prize,1,4,6,0,0,49,7,0,0,1
Instagram,Amazing photography,0,2,11,3.39,0,50,2,0,267,0
Instagram,Free followers now,3,7,22,1.92,0,11,3,0,1993,1
Website Review,Best product ever highly recommended,0,4,5,0,0.59,3,2,5,1333,0
Email,Your account suspended click link,4,4,0,0,0,35,9,0,0,1
Instagram,Amazing photography,2,3,12,2.8,0,12,3,0,661,0
Website Review,Best product ever highly recommended,0,4,4,0,0.28,40,0,2,1690,0
SMS,"Win ₹50,000 now click here",0,1,3,0,0,27,6,0,0,1
YouTube,Very informative tutorial,0,1,3,0,0,24,3,0,214,0
Email,Your account suspended click link,3,1,6,0,0,31,5,0,0,1
Email,Your account suspended click link,2,3,9,0,0,27,5,0,0,1
Email,Meeting scheduled tomorrow,0,3,3,0,0,0,2,0,0,0
YouTube,Very informative tutorial,0,5,9,0,0,38,1,0,192,0
Instagram,Amazing photography,0,2,6,3.89,0,27,4,0,926,0
Instagram,Free followers now,3,5,25,0.29,0,38,2,0,144,1
SMS,"Win ₹50,000 now click here",2,1,3,0,0,30,4,0,0,1
Instagram,Amazing photography,0,6,7,4.98,0,44,2,0,55,0
Website Review,Best product ever highly recommended,0,6,10,0,0.93,35,0,4,1279,0
YouTube,Earn money fast click here,2,10,3,0,0,43,1,0,872,1
Email,Your account suspended click link,5,2,2,0,0,15,7,0,0,1
Website Review,Fake review buy now,3,5,6,0,0.59,9,1,3,1860,1
Website Review,Best product ever highly recommended,0,4,9,0,0.82,38,3,2,1286,0
YouTube,Earn money fast click here,4,9,9,0,0,4,2,0,1114,1
Instagram,Free followers now,2,6,29,2.9,0,49,1,0,581,1
Instagram,Amazing photography,0,7,11,4.04,0,26,4,0,735,0
SMS,OTP for login is 445566,1,3,2,0,0,38,1,0,0,0
Instagram,Amazing photography,1,5,5,3.02,0,38,4,0,245,0
Email,Your account suspended click link,5,3,4,0,0,19,8,0,0,1
YouTube,Very informative tutorial,1,2,7,0,0,2,2,0,1224,0
Website Review,Fake review buy now,3,7,6,0,0.38,48,1,5,765,1
Email,Meeting scheduled tomorrow,0,1,7,0,0,1,2,0,0,0
Email,Your account suspended click link,3,5,10,0,0,6,10,0,0,1
SMS,"Win ₹50,000 now click here",2,2,7,0,0,43,5,0,0,1
Email,Meeting scheduled tomorrow,1,0,4,0,0,3,3,0,0,0
Instagram,Amazing photography,0,3,6,4.13,0,41,1,0,516,0
WhatsApp,Forward this message and win prize,2,4,9,0,0,73,7,0,0,1
WhatsApp,Family meeting at 6 PM,0,2,6,0,0,26,5,0,0,0
Website Review,Fake review buy now,2,7,10,0,0.68,40,4,3,1157,1
YouTube,Earn money fast click here,2,6,0,0,0,22,5,0,1223,1
WhatsApp,Family meeting at 6 PM,2,1,7,0,0,47,5,0,0,0
Instagram,Free followers now,3,8,26,0.99,0,30,3,0,72,1
WhatsApp,Forward this message and win prize,4,6,4,0,0,52,3,0,0,1
WhatsApp,Forward this message and win prize,3,4,6,0,0,48,4,0,0,1
Instagram,Free followers now,0,8,26,2.93,0,30,1,0,1797,1
Email,Meeting scheduled tomorrow,1,2,7,0,0,30,3,0,0,0
SMS,"Win ₹50,000 now click here",3,0,9,0,0,49,4,0,0,1
Website Review,Fake review buy now,0,3,0,0,0.7,1,1,1,72,1
Instagram,Free followers now,1,8,24,0.99,0,4,2,0,1229,1
WhatsApp,Forward this message and win prize,1,3,10,0,0,32,3,0,0,1
SMS,"Win ₹50,000 now click here",0,2,3,0,0,29,4,0,0,1
Instagram,Amazing photography,1,6,9,3.32,0,43,0,0,815,0
WhatsApp,Forward this message and win prize,4,4,3,0,0,44,6,0,0,1
Instagram,Amazing photography,0,6,15,4.65,0,47,1,0,1244,0
Email,Your account suspended click link,4,4,6,0,0,16,6,0,0,1
YouTube,Earn money fast click here,1,10,6,0,0,14,2,0,125,1
Email,Meeting scheduled tomorrow,0,4,9,0,0,23,5,0,0,0
Email,Your account suspended click link,5,0,7,0,0,46,8,0,0,1
SMS,"Win ₹50,000 now click here",1,0,5,0,0,33,5,0,0,1
YouTube,Earn money fast click here,2,10,5,0,0,44,2,0,275,1
Instagram,Amazing photography,1,7,12,1.42,0,43,2,0,779,0
YouTube,Earn money fast click here,2,7,10,0,0,46,0,0,1345,1
Instagram,Amazing photography,1,6,8,1.07,0,7,5,0,1498,0
SMS,OTP for login is 445566,0,2,5,0,0,40,3,0,0,0
Instagram,Amazing photography,1,5,7,2.69,0,34,3,0,694,0
SMS,"Win ₹50,000 now click here",3,2,10,0,0,18,7,0,0,1
SMS,OTP for login is 445566,0,5,9,0,0,0,0,0,0,0
SMS,"Win ₹50,000 now click here",1,4,9,0,0,6,5,0,0,1
Email,Your account suspended click link,5,4,1,0,0,12,5,0,0,1
Email,Meeting scheduled tomorrow,2,2,6,0,0,41,2,0,0,0
Website Review,Best product ever highly recommended,1,1,1,0,0.83,20,3,2,386,0
WhatsApp,Forward this message and win prize,1,3,1,0,0,50,6,0,0,1
SMS,"Win ₹50,000 now click here",2,4,9,0,0,23,5,0,0,1
WhatsApp,Forward this message and win prize,3,6,10,0,0,75,4,0,0,1
SMS,OTP for login is 445566,1,4,7,0,0,45,2,0,0,0
Website Review,Fake review buy now,2,6,4,0,0.14,28,2,3,205,1
SMS,OTP for login is 445566,0,4,1,0,0,24,3,0,0,0
SMS,OTP for login is 445566,0,5,7,0,0,49,3,0,0,0
YouTube,Earn money fast click here,2,8,6,0,0,10,4,0,1485,1
Email,Your account suspended click link,2,1,3,0,0,6,7,0,0,1
WhatsApp,Family meeting at 6 PM,0,2,0,0,0,31,4,0,0,0
Email,Your account suspended click link,4,4,0,0,0,45,5,0,0,1
SMS,OTP for login is 445566,1,5,4,0,0,3,1,0,0,0
WhatsApp,Family meeting at 6 PM,2,0,8,0,0,27,3,0,0,0
WhatsApp,Family meeting at 6 PM,2,3,4,0,0,18,2,0,0,0
YouTube,Earn money fast click here,1,7,2,0,0,9,2,0,1100,1
Email,Your account suspended click link,2,1,3,0,0,4,6,0,0,1
Website Review,Best product ever highly recommended,2,3,10,0,0.12,13,5,2,983,0
Email,Meeting scheduled tomorrow,0,3,4,0,0,2,2,0,0,0
YouTube,Earn money fast click here,3,9,4,0,0,36,0,0,1244,1
Website Review,Best product ever highly recommended,0,4,8,0,0.65,9,5,4,1963,0
Instagram,Amazing photography,0,3,14,0.98,0,42,5,0,1788,0
YouTube,Earn money fast click here,3,6,7,0,0,7,2,0,147,1
Instagram,Free followers now,0,7,23,3.01,0,3,3,0,1840,1
Email,Your account suspended click link,5,0,6,0,0,32,7,0,0,1
Instagram,Free followers now,3,7,25,2.64,0,21,3,0,138,1
Email,Your account suspended click link,5,5,7,0,0,8,8,0,0,1
WhatsApp,Forward this message and win prize,1,4,4,0,0,32,7,0,0,1
WhatsApp,Forward this message and win prize,2,4,9,0,0,35,2,0,0,1
WhatsApp,Forward this message and win prize,1,4,6,0,0,63,5,0,0,1
SMS,OTP for login is 445566,1,3,8,0,0,40,2,0,0,0
Website Review,Best product ever highly recommended,2,6,1,0,0.31,15,3,1,1887,0
Email,Meeting scheduled tomorrow,1,1,8,0,0,10,3,0,0,0
YouTube,Very informative tutorial,0,1,1,0,0,36,3,0,1038,0
Instagram,Amazing photography,1,6,6,3.71,0,50,0,0,157,0
SMS,"Win ₹50,000 now click here",2,5,6,0,0,2,5,0,0,1
WhatsApp,Forward this message and win prize,2,6,10,0,0,57,3,0,0,1
SMS,"Win ₹50,000 now click here",0,4,5,0,0,10,4,0,0,1
Email,Meeting scheduled tomorrow,2,5,10,0,0,8,4,0,0,0
WhatsApp,Forward this message and win prize,1,2,5,0,0,57,6,0,0,1
SMS,"Win ₹50,000 now click here",2,5,0,0,0,20,5,0,0,1
Website Review,Best product ever highly recommended,0,2,7,0,0.27,3,4,2,1164,0
SMS,OTP for login is 445566,0,3,9,0,0,46,1,0,0,0
SMS,"Win ₹50,000 now click here",3,3,5,0,0,1,5,0,0,1
Email,Your account suspended click link,4,3,9,0,0,31,5,0,0,1
WhatsApp,Family meeting at 6 PM,0,2,10,0,0,18,3,0,0,0
Email,Meeting scheduled tomorrow,0,2,0,0,0,32,2,0,0,0
SMS,"Win ₹50,000 now click here",3,0,10,0,0,46,8,0,0,1
Website Review,Best product ever highly recommended,0,3,0,0,0.61,24,4,1,696,0
WhatsApp,Family meeting at 6 PM,0,0,8,0,0,43,2,0,0,0
WhatsApp,Family meeting at 6 PM,2,0,2,0,0,45,3,0,0,0
YouTube,Earn money fast click here,1,6,1,0,0,9,5,0,1693,1
SMS,"Win ₹50,000 now click here",1,3,6,0,0,48,7,0,0,1
Instagram,Free followers now,2,5,23,4.94,0,30,2,0,1852,1
SMS,OTP for login is 445566,2,3,9,0,0,34,3,0,0,0
Email,Meeting scheduled tomorrow,2,2,7,0,0,31,1,0,0,0
Email,Meeting scheduled tomorrow,2,4,9,0,0,4,2,0,0,0
YouTube,Earn money fast click here,2,5,7,0,0,3,4,0,747,1
YouTube,Earn money fast click here,4,6,0,0,0,2,1,0,374,1
Email,Your account suspended click link,3,4,2,0,0,17,6,0,0,1
SMS,OTP for login is 445566,2,4,1,0,0,1,2,0,0,0
WhatsApp,Family meeting at 6 PM,2,2,6,0,0,38,1,0,0,0
Instagram,Free followers now,0,5,21,2.96,0,14,4,0,416,1
Instagram,Free followers now,1,9,27,1.2,0,27,5,0,801,1
YouTube,Earn money fast click here,1,6,1,0,0,10,5,0,954,1
Email,Meeting scheduled tomorrow,0,4,9,0,0,6,4,0,0,0
Instagram,Free followers now,1,9,25,1.75,0,33,1,0,408,1
SMS,OTP for login is 445566,0,5,1,0,0,0,4,0,0,0
Website Review,Best product ever highly recommended,0,3,1,0,0.45,50,3,3,1894,0
YouTube,Earn money fast click here,2,9,7,0,0,39,0,0,1229,1
WhatsApp,Family meeting at 6 PM,0,3,4,0,0,12,5,0,0,0
Email,Your account suspended click link,3,3,7,0,0,50,5,0,0,1
SMS,"Win ₹50,000 now click here",2,2,1,0,0,30,4,0,0,1
Email,Your account suspended click link,2,5,8,0,0,1,6,0,0,1
WhatsApp,Forward this message and win prize,3,4,6,0,0,46,5,0,0,1
Email,Meeting scheduled tomorrow,0,0,6,0,0,48,3,0,0,0
Email,Your account suspended click link,2,2,0,0,0,26,7,0,0,1
WhatsApp,Family meeting at 6 PM,0,4,3,0,0,23,5,0,0,0
Instagram,Free followers now,1,4,22,0.21,0,23,3,0,1000,1
WhatsApp,Forward this message and win prize,4,5,1,0,0,60,6,0,0,1
Instagram,Free followers now,3,5,28,0.09,0,18,3,0,1824,1
WhatsApp,Family meeting at 6 PM,0,0,8,0,0,18,3,0,0,0
WhatsApp,Forward this message and win prize,1,6,2,0,0,60,2,0,0,1
WhatsApp,Family meeting at 6 PM,0,4,9,0,0,28,2,0,0,0
YouTube,Earn money fast click here,4,7,10,0,0,12,4,0,1118,1
SMS,"Win ₹50,000 now click here",0,5,2,0,0,13,6,0,0,1
Instagram,Amazing photography,2,7,14,3.52,0,49,1,0,1292,0
Instagram,Amazing photography,1,3,15,1.12,0,42,0,0,880,0
Website Review,Fake review buy now,3,3,5,0,0.67,48,2,2,1845,1
YouTube,Very informative tutorial,0,3,10,0,0,32,1,0,779,0
WhatsApp,Forward this message and win prize,2,6,9,0,0,34,7,0,0,1
Email,Meeting scheduled tomorrow,1,4,1,0,0,6,0,0,0,0
Email,Your account suspended click link,3,2,1,0,0,20,8,0,0,1
Email,Meeting scheduled tomorrow,0,1,6,0,0,38,0,0,0,0
SMS,"Win ₹50,000 now click here",1,4,9,0,0,13,6,0,0,1
WhatsApp,Forward this message and win prize,2,4,3,0,0,54,3,0,0,1
YouTube,Earn money fast click here,2,8,9,0,0,28,2,0,1152,1
SMS,"Win ₹50,000 now click here",1,5,4,0,0,8,4,0,0,1
Instagram,Amazing photography,2,3,5,1.25,0,28,3,0,132,0
WhatsApp,Family meeting at 6 PM,0,0,0,0,0,17,2,0,0,0
SMS,"Win ₹50,000 now click here",0,1,6,0,0,15,5,0,0,1
SMS,OTP for login is 445566,2,4,0,0,0,5,5,0,0,0
WhatsApp,Forward this message and win prize,4,1,8,0,0,66,3,0,0,1
Email,Meeting scheduled tomorrow,1,4,10,0,0,48,2,0,0,0
Email,Meeting scheduled tomorrow,2,4,0,0,0,24,2,0,0,0
YouTube,Earn money fast click here,3,9,4,0,0,40,3,0,575,1
YouTube,Earn money fast click here,4,7,3,0,0,25,3,0,1516,1
WhatsApp,Forward this message and win prize,3,2,5,0,0,45,2,0,0,1
YouTube,Very informative tutorial,0,2,7,0,0,17,3,0,2000,0
Email,Meeting scheduled tomorrow,1,0,7,0,0,37,5,0,0,0
Instagram,Amazing photography,2,7,5,1.42,0,35,0,0,1908,0
SMS,"Win ₹50,000 now click here",2,5,3,0,0,36,3,0,0,1
Instagram,Free followers now,0,4,22,1.42,0,17,3,0,1531,1
SMS,OTP for login is 445566,0,0,1,0,0,27,4,0,0,0
WhatsApp,Family meeting at 6 PM,0,5,9,0,0,0,2,0,0,0
WhatsApp,Family meeting at 6 PM,1,0,10,0,0,31,2,0,0,0
WhatsApp,Forward this message and win prize,2,2,2,0,0,46,2,0,0,1
Instagram,Amazing photography,1,6,5,2.39,0,23,5,0,560,0
WhatsApp,Forward this message and win prize,1,2,6,0,0,70,5,0,0,1
YouTube,Very informative tutorial,0,4,10,0,0,29,1,0,1684,0
Instagram,Free followers now,0,4,22,4.87,0,16,2,0,1639,1
Instagram,Free followers now,0,4,24,3.86,0,31,4,0,52,1
Instagram,Free followers now,1,8,25,1.83,0,29,4,0,1441,1
WhatsApp,Forward this message and win prize,3,6,4,0,0,33,7,0,0,1
Email,Meeting scheduled tomorrow,0,1,5,0,0,8,2,0,0,0
SMS,OTP for login is 445566,0,2,4,0,0,48,4,0,0,0
Website Review,Best product ever highly recommended,0,2,9,0,0.59,31,4,3,1936,0
Email,Your account suspended click link,2,3,9,0,0,34,9,0,0,1
Email,Your account suspended click link,2,2,4,0,0,25,6,0,0,1
SMS,"Win ₹50,000 now click here",3,0,5,0,0,30,8,0,0,1
YouTube,Very informative tutorial,0,5,4,0,0,2,3,0,1654,0
Email,Your account suspended click link,2,2,10,0,0,3,6,0,0,1
WhatsApp,Forward this message and win prize,4,2,0,0,0,57,3,0,0,1
WhatsApp,Family meeting at 6 PM,0,4,1,0,0,0,0,0,0,0
Website Review,Best product ever highly recommended,2,4,6,0,0.1,37,5,2,767,0
SMS,"Win ₹50,000 now click here",1,5,3,0,0,4,7,0,0,1
Email,Your account suspended click link,4,5,3,0,0,35,6,0,0,1
WhatsApp,Forward this message and win prize,1,6,6,0,0,61,3,0,0,1
Website Review,Fake review buy now,3,5,5,0,0.86,26,4,4,1052,1
Website Review,Best product ever highly recommended,2,3,5,0,0.36,7,1,3,841,0
Instagram,Free followers now,0,8,25,4.66,0,4,4,0,1434,1
YouTube,Earn money fast click here,1,7,6,0,0,4,2,0,1703,1
Instagram,Amazing photography,0,5,14,0.76,0,49,0,0,989,0
Email,Meeting scheduled tomorrow,0,2,4,0,0,5,0,0,0,0
WhatsApp,Forward this message and win prize,1,6,3,0,0,57,6,0,0,1
Email,Your account suspended click link,4,4,2,0,0,43,7,0,0,1
SMS,OTP for login is 445566,0,4,9,0,0,39,1,0,0,0
YouTube,Earn money fast click here,1,6,4,0,0,4,5,0,334,1
Email,Meeting scheduled tomorrow,1,4,0,0,0,21,5,0,0,0
WhatsApp,Family meeting at 6 PM,0,4,8,0,0,46,0,0,0,0
Email,Your account suspended click link,3,0,10,0,0,3,9,0,0,1
YouTube,Earn money fast click here,1,5,10,0,0,49,5,0,852,1
Website Review,Fake review buy now,3,3,7,0,0.13,41,5,2,117,1
Instagram,Amazing photography,2,5,13,3.71,0,20,2,0,1273,0
Website Review,Best product ever highly recommended,0,3,3,0,0.3,19,4,4,966,0
SMS,OTP for login is 445566,2,2,0,0,0,32,1,0,0,0
Email,Meeting scheduled tomorrow,1,4,7,0,0,31,2,0,0,0
WhatsApp,Forward this message and win prize,3,4,4,0,0,71,7,0,0,1
Website Review,Best product ever highly recommended,2,5,10,0,0.38,0,0,4,1279,0
WhatsApp,Family meeting at 6 PM,2,0,2,0,0,33,1,0,0,0
YouTube,Very informative tutorial,1,4,9,0,0,31,4,0,412,0
Instagram,Amazing photography,0,6,11,3.51,0,10,2,0,525,0
Email,Your account suspended click link,2,1,3,0,0,28,5,0,0,1
Instagram,Amazing photography,0,4,12,3.06,0,27,0,0,1702,0
WhatsApp,Family meeting at 6 PM,0,5,8,0,0,7,1,0,0,0
Email,Meeting scheduled tomorrow,1,4,7,0,0,44,0,0,0,0
Instagram,Free followers now,1,9,24,4.67,0,15,5,0,1226,1
Instagram,Free followers now,3,6,28,0.03,0,46,1,0,533,1
Email,Meeting scheduled tomorrow,1,5,4,0,0,32,0,0,0,0
YouTube,Earn money fast click here,4,10,9,0,0,7,3,0,1858,1
YouTube,Earn money fast click here,3,5,9,0,0,28,4,0,619,1
SMS,"Win ₹50,000 now click here",2,3,9,0,0,11,3,0,0,1
YouTube,Very informative tutorial,0,4,6,0,0,14,0,0,1314,0
Instagram,Amazing photography,0,2,5,0.51,0,35,0,0,649,0
SMS,OTP for login is 445566,0,2,5,0,0,9,0,0,0,0
Email,Your account suspended click link,3,3,0,0,0,28,8,0,0,1
YouTube,Earn money fast click here,3,10,4,0,0,43,4,0,438,1
WhatsApp,Forward this message and win prize,4,2,4,0,0,63,5,0,0,1
Email,Your account suspended click link,2,5,4,0,0,3,7,0,0,1
Website Review,Fake review buy now,3,4,7,0,0.8,35,2,1,31,1
Website Review,Best product ever highly recommended,0,4,5,0,0.14,0,4,2,613,0
YouTube,Earn money fast click here,2,6,7,0,0,8,2,0,894,1
Website Review,Fake review buy now,0,2,10,0,0.47,42,4,4,1404,1
Website Review,Fake review buy now,3,2,4,0,0.3,15,2,5,1015,1
Website Review,Best product ever highly recommended,0,1,9,0,0.91,20,2,3,1787,0
SMS,"Win ₹50,000 now click here",2,4,0,0,0,4,8,0,0,1
WhatsApp,Forward this message and win prize,1,4,7,0,0,30,7,0,0,1
YouTube,Earn money fast click here,4,7,8,0,0,25,1,0,295,1
WhatsApp,Forward this message and win prize,2,3,5,0,0,62,7,0,0,1
WhatsApp,Family meeting at 6 PM,0,4,4,0,0,4,2,0,0,0
Website Review,Best product ever highly recommended,0,6,6,0,0.25,6,2,1,9,0
YouTube,Earn money fast click here,2,9,0,0,0,23,5,0,1731,1
Instagram,Free followers now,3,4,30,2.5,0,3,2,0,460,1
WhatsApp,Family meeting at 6 PM,2,1,9,0,0,31,5,0,0,0
YouTube,Very informative tutorial,2,4,7,0,0,9,3,0,1131,0
Email,Meeting scheduled tomorrow,1,0,9,0,0,36,2,0,0,0
SMS,OTP for login is 445566,0,4,3,0,0,48,2,0,0,0
YouTube,Very informative tutorial,2,3,9,0,0,5,4,0,210,0
SMS,"Win ₹50,000 now click here",3,2,1,0,0,33,4,0,0,1
Email,Your account suspended click link,3,0,10,0,0,6,6,0,0,1
WhatsApp,Forward this message and win prize,4,6,9,0,0,65,5,0,0,1
YouTube,Very informative tutorial,2,4,9,0,0,8,3,0,857,0
Website Review,Best product ever highly recommended,0,4,10,0,0.98,31,3,5,891,0
WhatsApp,Family meeting at 6 PM,1,2,1,0,0,14,0,0,0,0
Email,Meeting scheduled tomorrow,2,2,9,0,0,11,5,0,0,0
Instagram,Free followers now,0,7,29,2.2,0,15,3,0,524,1
Instagram,Amazing photography,0,5,12,2.88,0,32,2,0,770,0
WhatsApp,Forward this message and win prize,1,5,5,0,0,69,7,0,0,1
Instagram,Free followers now,2,6,24,4.61,0,48,2,0,821,1
Email,Meeting scheduled tomorrow,0,4,6,0,0,46,3,0,0,0
Website Review,Fake review buy now,0,6,5,0,0.86,29,3,3,12,1
SMS,OTP for login is 445566,0,3,8,0,0,48,5,0,0,0
YouTube,Very informative tutorial,0,4,9,0,0,0,4,0,70,0
Website Review,Fake review buy now,0,3,0,0,0.38,18,1,2,1624,1
Instagram,Amazing photography,0,4,7,4.28,0,35,4,0,1063,0
Website Review,Fake review buy now,1,3,7,0,0.69,42,2,1,178,1
SMS,OTP for login is 445566,2,4,0,0,0,22,2,0,0,0
Email,Meeting scheduled tomorrow,2,1,3,0,0,16,4,0,0,0
Email,Your account suspended click link,2,0,10,0,0,17,6,0,0,1
Email,Your account suspended click link,5,0,4,0,0,39,10,0,0,1
WhatsApp,Family meeting at 6 PM,0,3,6,0,0,6,1,0,0,0
SMS,"Win ₹50,000 now click here",3,2,5,0,0,17,4,0,0,1
Website Review,Fake review buy now,3,7,9,0,0.31,24,1,2,559,1
SMS,OTP for login is 445566,1,5,4,0,0,1,3,0,0,0
Instagram,Free followers now,3,5,26,1.01,0,44,1,0,13,1
Website Review,Fake review buy now,1,5,3,0,0.6,26,0,3,1643,1
Website Review,Fake review buy now,1,2,7,0,0.95,22,1,4,1594,1
SMS,OTP for login is 445566,0,2,5,0,0,26,2,0,0,0
SMS,OTP for login is 445566,0,1,9,0,0,29,0,0,0,0
Website Review,Best product ever highly recommended,0,4,9,0,0.5,39,4,3,1163,0
SMS,OTP for login is 445566,2,2,3,0,0,8,4,0,0,0
Email,Meeting scheduled tomorrow,0,4,3,0,0,45,2,0,0,0
Website Review,Best product ever highly recommended,0,6,0,0,0.54,19,3,1,1586,0
Email,Your account suspended click link,2,0,2,0,0,17,5,0,0,1
Website Review,Best product ever highly recommended,2,2,3,0,0.73,10,1,4,1454,0
Email,Meeting scheduled tomorrow,0,4,6,0,0,48,3,0,0,0
WhatsApp,Forward this message and win prize,3,6,1,0,0,70,5,0,0,1
YouTube,Very informative tutorial,0,5,5,0,0,33,3,0,1800,0
Instagram,Amazing photography,0,2,13,0.92,0,2,0,0,1882,0
Website Review,Best product ever highly recommended,0,3,8,0,0.23,40,3,4,706,0
SMS,"Win ₹50,000 now click here",1,3,1,0,0,9,4,0,0,1
YouTube,Very informative tutorial,1,1,10,0,0,21,4,0,1546,0
Instagram,Free followers now,0,7,23,3.26,0,3,4,0,1582,1
YouTube,Very informative tutorial,0,5,8,0,0,3,2,0,924,0
Website Review,Best product ever highly recommended,2,2,6,0,0.52,14,4,5,624,0
Email,Your account suspended click link,2,1,7,0,0,27,8,0,0,1
YouTube,Very informative tutorial,0,3,10,0,0,26,0,0,602,0
SMS,"Win ₹50,000 now click here",1,3,6,0,0,19,5,0,0,1
Website Review,Fake review buy now,3,6,4,0,0.77,24,5,1,152,1
WhatsApp,Forward this message and win prize,4,6,3,0,0,59,3,0,0,1
Website Review,Fake review buy now,2,6,0,0,0.73,35,5,3,218,1
Email,Your account suspended click link,4,5,5,0,0,13,7,0,0,1
SMS,"Win ₹50,000 now click here",3,0,2,0,0,24,3,0,0,1
WhatsApp,Family meeting at 6 PM,0,0,10,0,0,14,1,0,0,0
Website Review,Best product ever highly recommended,1,2,6,0,0.58,20,1,4,1671,0
Email,Meeting scheduled tomorrow,0,1,7,0,0,13,3,0,0,0
Email,Meeting scheduled tomorrow,2,2,4,0,0,11,4,0,0,0
WhatsApp,Family meeting at 6 PM,1,4,3,0,0,41,3,0,0,0
Email,Meeting scheduled tomorrow,2,0,0,0,0,21,0,0,0,0
YouTube,Earn money fast click here,2,7,10,0,0,48,4,0,1536,1
YouTube,Very informative tutorial,0,4,2,0,0,6,0,0,232,0
YouTube,Very informative tutorial,1,2,7,0,0,19,0,0,383,0
YouTube,Very informative tutorial,2,5,10,0,0,20,1,0,1381,0
Website Review,Fake review buy now,2,6,8,0,0.52,8,1,1,398,1
WhatsApp,Family meeting at 6 PM,0,2,6,0,0,16,5,0,0,0
Email,Meeting scheduled tomorrow,0,1,7,0,0,46,2,0,0,0
WhatsApp,Forward this message and win prize,2,6,5,0,0,50,7,0,0,1
SMS,OTP for login is 445566,0,4,0,0,0,29,4,0,0,0
YouTube,Very informative tutorial,0,3,2,0,0,21,2,0,1919,0
Website Review,Best product ever highly recommended,0,4,7,0,0.78,13,1,4,313,0
Email,Your account suspended click link,5,1,3,0,0,16,8,0,0,1
Instagram,Free followers now,1,6,28,1.16,0,8,4,0,1349,1
YouTube,Earn money fast click here,2,5,2,0,0,12,4,0,1762,1
Website Review,Best product ever highly recommended,0,3,3,0,0.94,25,1,1,726,0
Instagram,Amazing photography,2,2,7,2.41,0,46,5,0,279,0
Website Review,Best product ever highly recommended,0,6,10,0,0.26,38,3,1,248,0
SMS,OTP for login is 445566,1,0,7,0,0,26,0,0,0,0
Website Review,Best product ever highly recommended,1,5,1,0,0.75,37,0,4,813,0
SMS,"Win ₹50,000 now click here",3,5,1,0,0,4,7,0,0,1
Instagram,Amazing photography,0,7,11,3.89,0,39,2,0,1597,0
YouTube,Very informative tutorial,0,5,9,0,0,33,5,0,1609,0
SMS,OTP for login is 445566,1,4,0,0,0,10,5,0,0,0
Email,Meeting scheduled tomorrow,1,4,6,0,0,26,5,0,0,0
Website Review,Fake review buy now,1,7,3,0,0.73,22,3,2,700,1
Instagram,Free followers now,1,6,20,1.21,0,15,2,0,350,1
SMS,OTP for login is 445566,1,1,10,0,0,14,4,0,0,0
SMS,"Win ₹50,000 now click here",2,0,3,0,0,3,7,0,0,1
Email,Meeting scheduled tomorrow,0,5,5,0,0,13,0,0,0,0
Email,Meeting scheduled tomorrow,0,2,6,0,0,32,1,0,0,0
SMS,OTP for login is 445566,1,4,0,0,0,39,1,0,0,0
Instagram,Free followers now,3,7,29,1.7,0,10,1,0,543,1
YouTube,Very informative tutorial,2,6,10,0,0,11,5,0,1713,0
SMS,OTP for login is 445566,0,4,3,0,0,7,3,0,0,0
WhatsApp,Family meeting at 6 PM,2,4,9,0,0,9,4,0,0,0
WhatsApp,Forward this message and win prize,3,5,10,0,0,37,5,0,0,1
SMS,OTP for login is 445566,1,4,1,0,0,46,4,0,0,0
Email,Your account suspended click link,2,0,1,0,0,3,10,0,0,1
YouTube,Very informative tutorial,0,3,1,0,0,38,3,0,189,0
Email,Your account suspended click link,4,4,6,0,0,19,5,0,0,1
WhatsApp,Forward this message and win prize,2,3,4,0,0,65,5,0,0,1
Instagram,Amazing photography,0,6,11,2.61,0,38,5,0,313,0
